card_id,implementation,hooks,source_kind,upstream_repositories,upstream_match_count,verification_status
EDR_260t,legacy_compatibility,,local_legacy,,0,regression_suite_only
EDR_421,legacy_compatibility,,local_legacy,,0,regression_suite_only
EDR_453,legacy_compatibility,,local_legacy,,0,regression_suite_only
EDR_456,legacy_compatibility,,local_legacy,,0,regression_suite_only
EDR_457,legacy_compatibility,,local_legacy,,0,regression_suite_only
EDR_459,declarative,"battlecry,deathrattle",local_spec,,0,focused_test_and_regression
EDR_465,legacy_compatibility,,local_legacy,,0,regression_suite_only
EDR_468,legacy_compatibility,,local_legacy,,0,regression_suite_only
EDR_469,legacy_compatibility,,local_legacy,,0,regression_suite_only
EDR_471,legacy_compatibility,,local_legacy,,0,regression_suite_only
EDR_480,legacy_compatibility,,local_legacy,,0,regression_suite_only
EDR_485,declarative,deathrattle,local_spec,,0,focused_test_and_regression
EDR_486,legacy_compatibility,,local_legacy,,0,regression_suite_only
EDR_492,declarative,battlecry,local_spec,,0,focused_test_and_regression
EDR_492t,legacy_compatibility,,local_legacy,,0,regression_suite_only
EDR_493,legacy_compatibility,,local_legacy,,0,regression_suite_only
EDR_521,legacy_compatibility,,local_legacy,,0,regression_suite_only
EDR_524,legacy_compatibility,,local_legacy,,0,regression_suite_only
EDR_529,legacy_compatibility,,local_legacy,,0,regression_suite_only
EDR_571,declarative,deathrattle,local_spec,,0,focused_test_and_regression
EDR_572,declarative,deathrattle,local_spec,,0,focused_test_and_regression
EDR_780,legacy_compatibility,,local_legacy,,0,regression_suite_only
EDR_810,declarative,battlecry,local_spec,,0,focused_test_and_regression
EDR_810t,legacy_compatibility,,local_legacy,,0,regression_suite_only
EDR_816,legacy_compatibility,,local_legacy,,0,regression_suite_only
EDR_818,legacy_compatibility,,local_legacy,,0,regression_suite_only
EDR_844,legacy_compatibility,,local_legacy,,0,regression_suite_only
EDR_849,legacy_compatibility,,local_legacy,,0,regression_suite_only
EDR_856,legacy_compatibility,,local_legacy,,0,regression_suite_only
EDR_889,legacy_compatibility,,local_legacy,,0,regression_suite_only
EDR_891,legacy_compatibility,,local_legacy,,0,regression_suite_only
EDR_892,legacy_compatibility,,local_legacy,,0,regression_suite_only
EDR_971,legacy_compatibility,,local_legacy,,0,regression_suite_only
EDR_999,legacy_compatibility,,local_legacy,,0,regression_suite_only
END_004,declarative,battlecry,local_spec,,0,focused_test_and_regression
END_019,legacy_compatibility,,local_legacy,,0,regression_suite_only
END_021,declarative,battlecry,local_spec,,0,focused_test_and_regression
END_022,legacy_compatibility,,local_legacy,,0,regression_suite_only
END_030,legacy_compatibility,,local_legacy,,0,regression_suite_only
END_033,legacy_compatibility,,local_legacy,,0,regression_suite_only
END_034,legacy_compatibility,,local_legacy,,0,regression_suite_only
END_035,legacy_compatibility,,local_legacy,,0,regression_suite_only
EX1_014t,declarative,spell,upstream_adapted,"RosettaStone,fireplace",16,focused_test_and_regression
EX1_110t,legacy_compatibility,,local_legacy,"RosettaStone,fireplace",5,regression_suite_only
FIR_908,legacy_compatibility,,local_legacy,,0,regression_suite_only
FIR_919,legacy_compatibility,,local_legacy,,0,regression_suite_only
FIR_924,legacy_compatibility,,local_legacy,,0,regression_suite_only
FIR_928,legacy_compatibility,,local_legacy,,0,regression_suite_only
FIR_939,legacy_compatibility,,local_legacy,,0,regression_suite_only
FIR_951,legacy_compatibility,,local_legacy,,0,regression_suite_only
FIR_953,legacy_compatibility,,local_legacy,,0,regression_suite_only
FIR_956,legacy_compatibility,,local_legacy,,0,regression_suite_only
FIR_958,legacy_compatibility,,local_legacy,,0,regression_suite_only
GAME_005,declarative,spell,upstream_adapted,"RosettaStone,fireplace",15,focused_test_and_regression
JAIL_007,declarative,deathrattle,local_spec,,0,focused_test_and_regression
JAIL_029,legacy_compatibility,,local_legacy,,0,regression_suite_only
JAIL_202,legacy_compatibility,,local_legacy,,0,regression_suite_only
JAIL_311,legacy_compatibility,,local_legacy,,0,regression_suite_only
JAIL_384,legacy_compatibility,,local_legacy,,0,regression_suite_only
JAIL_398,declarative,deathrattle,local_spec,,0,focused_test_and_regression
JAIL_399,declarative,deathrattle,local_spec,,0,focused_test_and_regression
JAIL_399t1,legacy_compatibility,,local_legacy,,0,regression_suite_only
